,Question,Answer,generated_answers
0,What is Red Hat OpenShift Service on AWS (ROSA)?,"Red Hat Openshift Service on AWS (ROSA) is a fully-managed turnkey application platform that allows you to focus on what matters most, delivering value to your customers by building and deploying applications. Red Hat SRE experts manage the underlying platform so you don’t have to worry about the complexity of infrastructure management.","
Kubernetes is an open source container orchestration platform that provides the core container orchestration capabilities. ROSA builds on top of Kubernetes to provide a complete platform for deploying and managing applications."
1,Where can I go to get more information/details?,"- [ROSA Webpage](https://www.openshift.com/products/amazon-openshift)
- [ROSA Workshop](https://www.rosaworkshop.io)
- [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html)","
#### Configuration examples

You can find configuration examples for ROSA on the [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html) page.

#### Pricing

You can find pricing information for ROSA on the [ROSA Webpage](https://www.openshift.com/products/amazon-openshift)."
2,What are the benefits of Red Hat OpenShift Service on AWS (Key Features)?,"- **Native AWS service:** Access and use Red Hat OpenShift on demand with a self-service on-boarding experience through the AWS management console.
- **Flexible, consumption-based pricing:** Scale as per your business needs and pay as you go with flexible pricing with an on-demand hourly or annual billing model.
- **Single bill for Red Hat OpenShift & AWS usage:**  Customers will receive a single bill from AWS for both Red Hat OpenShift and AWS consumption.
- **Fully integrated support experience:** Installation, management, maintenance, and upgrades are performed by Red Hat site reliability engineers (SRE) with joint Red Hat and Amazon support and a 99.95% SLA.
- **AWS service integration:** AWS has a robust portfolio of cloud services, such as compute, storage, networking, database, analytics, and machine learning, which are directly accessible via Red Hat OpenShift Service on AWS. This makes it easier to build, operate, and scale globally on demand through a familiar management interface.
Additional key features of Red Hat OpenShift Service on AWS:
- **Maximum Availability:** Deploy clusters across multiple Availability Zones in supported Regions to maximize availability to maintain high availability for your most demanding mission-critical applications and data.
- **Cluster node scaling:** Easily add or remove compute nodes to match resource demand
- **Optimized clusters:** Choose from memory-optimized, compute-optimized, or general purpose EC2 instance types, with clusters sized to meet your needs. See [AWS compute types](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-service-definition.html#rosa-sdpolicy-aws-compute-types_rosa-service-definition).
- **Global availability:** Please refer to the [product regional availability page](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-service-definition.html#rosa-sdpolicy-regions-az_rosa-service-definition) page for an up-to-date view of where Red Hat OpenShift Service on AWS is available.","
Q: What are the benefits of Red Hat OpenShift Service on AWS (Key Features)?

A: Red Hat OpenShift Service on AWS provides a fully-managed, turnkey application platform that allows you to focus on delivering value to your customers by building and deploying applications. It offers a native AWS service with flexible, consumption-based pricing, a single bill for Red Hat OpenShift & AWS usage, and a fully integrated support experience. Additionally, it provides AWS service integration, making it easier to build, operate, and scale globally on demand through a familiar management interface."
3,What are the differences between Red Hat OpenShift Service on AWS and Kubernetes?,"Everything you need to deploy and manage containers is bundled with ROSA, including container management, automation (Operators), networking, load balancing, service mesh, CI/CD, firewall, monitoring, registry, authentication, and authorization capabilities. These components are tested together for unified operations as a complete platform. Automated cluster operations, including over-the-air platform upgrades, further enhance your Kubernetes experience.","
Q: What are the differences between Red Hat OpenShift Service on AWS and Kubernetes?
A: Red Hat OpenShift Service on AWS is a fully-managed turnkey application platform that provides an integrated experience for deploying and managing applications on Kubernetes. It includes container management, automation (Operators), networking, load balancing, service mesh, CI/CD, firewall, monitoring, registry, authentication, and authorization capabilities. These components are tested together for unified operations as a complete platform. Automated cluster operations, including over-the-air platform upgrades, further enhance your Kubernetes experience. Additionally, Red Hat OpenShift Service on AWS provides a native AWS service with flexible, consumption-based pricing, a single bill for Red Hat OpenShift & AWS usage, and a fully integrated support experience."
4,What exactly am I responsible for and what is Red Hat / AWS responsible for?,"In short, anything that is related to deploying the cluster or keeping the cluster running will be Red Hat’s or AWS’s responsibility, and anything relating to the applications, users, or data is the customers responsibility.  Please see our [responsibility matrix](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-policy-responsibility-matrix.html) for more details.",https://www.openshift.com/products/amazon-openshift/pricing
5,How does it work?,"Red Hat OpenShift Service on AWS (ROSA) has infrastructure components (virtual machines, storage disks, etc.) and a software component (OpenShift). When you provision ROSA clusters you will incur the infrastructure and OpenShift charges at the pay-as-you-go hourly rate. Refer to the Red Hat OpenShift Service on AWS pricing page for more information. You can also do 1 or 3 year commits for even deeper discounts.","
ROSA is a fully-managed, turnkey application platform that allows you to focus on delivering value to your customers by building and deploying applications. It provides a secure, scalable, and reliable environment for running applications, and is designed to make it easy to deploy and manage applications. ROSA provides a range of features and services, including automated deployment, scaling, and monitoring of applications, as well as integrated security and compliance. Additionally, ROSA provides access to a wide range of services, such as databases, messaging, and storage, to help you build and deploy applications quickly and easily. For more information on how ROSA works, please visit the ROSA Documentation page here: https://docs.openshift.com/rosa/welcome/index.html."
6,Where can I see a roadmap or make feature requests for the service?,You can visit our [ROSA roadmap](https://red.ht/rosa-roadmap) to stay up to date with the status of features currently in development. Please feel free to open a new issue if you have any suggestions for the product team.,"
Answer: To view the roadmap or make feature requests for Red Hat OpenShift Service on AWS (ROSA), you can visit the [Red Hat OpenShift Service on AWS Roadmap](https://www.redhat.com/en/services/consulting/openshift-service-aws-roadmap) page. This page provides an overview of the current and upcoming features for ROSA. You can also submit feature requests and feedback directly to the ROSA team by emailing rosa@redhat.com."
7,How is the pricing of Red Hat OpenShift Service on AWS calculated?,"See here for pricing information: [ROSA Pricing](https://aws.amazon.com/rosa/pricing/)
Red Hat OpenShift Service on AWS has three components to its cost.
  - First there is an hourly cluster fee, which is $0.03/cluster/hour (or approximately $263/cluster/year.)
  - The second component is the pricing per worker node, which is:
      - $0.171 per 4vCPU/hour for on-demand consumption (or approximately $1498/node/year.)
      - $0.114 per 4vCPU/hour for a 1-year RI commitment (or approximately $998/node/year.)
      - $0.076 per 4vCPU/hour for a 3-year RI commitment (or approximately $665/node/year.)
  - Third, are the underlying AWS infrastructure costs, like EC2 instances, network traffic, S3 buckets, etc. See here for [provisioned resources](https://docs.openshift.com/rosa/rosa_planning/rosa-sts-aws-prereqs.html#rosa-aws-policy-provisioned_rosa-sts-aws-prereqs).
_*OpenShift pricing for Red Hat OpenShift Service on AWS is the same for all supported AWS regions. Pricing listed above does not include infrastructure expenses._
**ON-DEMAND PRICING EXAMPLE**
If you have a 10 worker node cluster of type m5.xlarge, running on-demand for a year, the OpenShift cost for Red Hat OpenShift Service on AWS would be approximately:
$0.03 /cluster/hour X 1 cluster X 24 hours/day X 365.25 days/year = $263<br>
$0.171 /node/hour X 10 worker nodes X 24 hours/day X 365 days/year = $14,969.60<br>
Your total cost in this case would be $15,242<br>
_Pricing for Red Hat OpenShift Service on AWS is in addition to the costs of Amazon EC2 for control plane, infra & worker nodes and other AWS services used._","- **Integrated security:** Red Hat OpenShift Service on AWS is integrated with AWS security services, such as AWS Identity and Access Management (IAM), AWS CloudTrail, and AWS Config.
- **Integrated monitoring:** Red Hat OpenShift Service on AWS is integrated with AWS CloudWatch for monitoring and alerting.
- **Integrated logging:** Red Hat OpenShift Service on AWS is integrated with AWS CloudWatch Logs for log aggregation and analysis."
8,"When pricing out my EC2 instances, do I need to use RHEL for the operating system?","No, being that ROSA includes Red Hat Enterprise Linux CoreOS (RHCOS) as the operating system, you only need to choose Linux.
For clarity, ROSA cluster creation handles the setup of all the RHCOS nodes entirely.",
9,Does Red Hat OpenShift Service on AWS qualify for the AWS EDP Program?,"Yes, Red Hat OpenShift Service on AWS fully qualifies for 100% of the spend on the AWS Enterprise Discount Program.","
Does Red Hat OpenShift Service on AWS qualify for the AWS EDP Program?

Yes, Red Hat OpenShift Service on AWS qualifies for the AWS EDP Program. Customers can apply for the AWS EDP Program to receive discounts on their Red Hat OpenShift Service on AWS usage."
